	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	averageRating	numVotes	releaseDate	posterURL	releaseCountry
36	83866	movie	E.T. the Extra-Terrestrial	E.T. the Extra-Terrestrial	0	1982	\N	115	Family,Sci-Fi	7.9	332832	1982-06-11	https://m.media-amazon.com/images/M/MV5BMTQ2ODFlMDAtNzdhOC00ZDYzLWE3YTMtNDU4ZGFmZmJmYTczXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX101_CR0,0,101,150_.jpg	USA
37	84787	movie	The Thing	The Thing	0	1982	\N	109	Horror,Mystery,Sci-Fi	8.1	325649	1982-06-25	https://m.media-amazon.com/images/M/MV5BNDcyZmFjY2YtN2I1OC00MzU3LWIzZGEtZDA5N2VlNDJjYWI3L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX101_CR0,0,101,150_.jpg	USA
38	86190	movie	Star Wars: Episode VI - Return of the Jedi	Star Wars: Episode VI - Return of the Jedi	0	1983	\N	131	Action,Adventure,Fantasy	8.3	848607	1983-05-25	https://m.media-amazon.com/images/M/MV5BOWZlMjFiYzgtMTUzNC00Y2IzLTk1NTMtZmNhMTczNTk0ODk1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX101_CR0,0,101,150_.jpg	USA
39	86250	movie	Scarface	Scarface	0	1983	\N	170	Crime,Drama	8.3	654312	1983-12-09	https://m.media-amazon.com/images/M/MV5BNjdjNGQ4NDEtNTEwYS00MTgxLTliYzQtYzE2ZDRiZjFhZmNlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX101_CR0,0,101,150_.jpg	USA
40	86879	movie	Amadeus	Amadeus	0	1984	\N	160	Biography,Drama,History	8.3	331745	1984-09-19	https://m.media-amazon.com/images/M/MV5BNWJlNzUzNGMtYTAwMS00ZjI2LWFmNWQtODcxNWUxODA5YmU1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX101_CR0,0,101,150_.jpg	USA
41	87332	movie	Ghostbusters	Ghost Busters	0	1984	\N	105	Action,Comedy,Fantasy	7.8	319893	1984-06-08	https://m.media-amazon.com/images/M/MV5BMTkxMjYyNzgwMl5BMl5BanBnXkFtZTgwMTE3MjYyMTE@._V1_SX101_CR0,0,101,150_.jpg	USA
42	87469	movie	Indiana Jones and the Temple of Doom	Indiana Jones and the Temple of Doom	0	1984	\N	118	Action,Adventure	7.6	399448	1984-05-23	https://m.media-amazon.com/images/M/MV5BMGI1NTk2ZWMtMmI0YS00Yzg0LTljMzgtZTg4YjkyY2E5Zjc0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX101_CR0,0,101,150_.jpg	USA
43	87843	movie	Once Upon a Time in America	Once Upon a Time in America	0	1984	\N	229	Crime,Drama	8.4	272428	1984-06-01	https://m.media-amazon.com/images/M/MV5BMGFkNWI4MTMtNGQ0OC00MWVmLTk3MTktOGYxN2Y2YWVkZWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX101_CR0,0,101,150_.jpg	USA
44	88247	movie	The Terminator	The Terminator	0	1984	\N	107	Action,Sci-Fi	8.0	719445	1984-10-26	https://m.media-amazon.com/images/M/MV5BYTViNzMxZjEtZGEwNy00MDNiLWIzNGQtZDY2MjQ1OWViZjFmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX101_CR0,0,101,150_.jpg	USA
45	88763	movie	Back to the Future	Back to the Future	0	1985	\N	116	Adventure,Comedy,Sci-Fi	8.5	918178	1985-07-03	https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX101_CR0,0,101,150_.jpg	USA
